name,description,category,unit,unit_cost,supplier_name,minimum_stock,maximum_stock,current_stock,batch_number,location,gl_account,sku,vendor_item_number,notes
Sample Item 1,Sample description for inventory item 1,produce,lb,3.25,Fresh Farms Co.,5.00,15.00,5.00,BATCH-001,Walk-in Cooler,5100,SKU-00001,VIN-000003,Notes for item 1
Sample Item 2,Sample description for inventory item 2,meat,kg,4.00,Prime Protein Supply,6.00,17.00,7.00,BATCH-002,Dry Storage,5101,SKU-00002,VIN-000006,Notes for item 2
Sample Item 3,Sample description for inventory item 3,dairy,oz,4.75,DairyBest Distributors,7.00,19.00,9.00,BATCH-003,Freezer,5102,SKU-00003,VIN-000009,Notes for item 3
Sample Item 4,Sample description for inventory item 4,dry_goods,gal,5.50,Metro Restaurant Supply,8.00,21.00,11.00,BATCH-004,Bar Storage,5103,SKU-00004,VIN-000012,Notes for item 4
Sample Item 5,Sample description for inventory item 5,beverages,liter,6.25,Gourmet Goods LLC,9.00,23.00,13.00,BATCH-005,Prep Station,5104,SKU-00005,VIN-000015,Notes for item 5
Sample Item 6,Sample description for inventory item 6,other,case,7.00,Sunrise Produce,10.00,20.00,15.00,BATCH-006,Pantry,5105,SKU-00006,VIN-000018,Notes for item 6
Sample Item 7,Sample description for inventory item 7,produce,each,7.75,Fresh Farms Co.,11.00,22.00,17.00,BATCH-007,Walk-in Cooler,5106,SKU-00007,VIN-000021,Notes for item 7
Sample Item 8,Sample description for inventory item 8,meat,pack,8.50,Prime Protein Supply,5.00,17.00,12.00,BATCH-008,Dry Storage,5107,SKU-00008,VIN-000024,Notes for item 8
Sample Item 9,Sample description for inventory item 9,dairy,lb,9.25,DairyBest Distributors,6.00,19.00,14.00,BATCH-009,Freezer,5108,SKU-00009,VIN-000027,Notes for item 9
Sample Item 10,Sample description for inventory item 10,dry_goods,kg,10.00,Metro Restaurant Supply,7.00,21.00,16.00,BATCH-010,Bar Storage,5109,SKU-00010,VIN-000030,Notes for item 10
Sample Item 11,Sample description for inventory item 11,beverages,oz,10.75,Gourmet Goods LLC,8.00,18.00,18.00,BATCH-011,Prep Station,5110,SKU-00011,VIN-000033,Notes for item 11
Sample Item 12,Sample description for inventory item 12,other,gal,11.50,Sunrise Produce,9.00,20.00,20.00,BATCH-012,Pantry,5111,SKU-00012,VIN-000036,Notes for item 12
Sample Item 13,Sample description for inventory item 13,produce,liter,12.25,Fresh Farms Co.,10.00,22.00,22.00,BATCH-013,Walk-in Cooler,5112,SKU-00013,VIN-000039,Notes for item 13
Sample Item 14,Sample description for inventory item 14,meat,case,13.00,Prime Protein Supply,11.00,24.00,24.00,BATCH-014,Dry Storage,5113,SKU-00014,VIN-000042,Notes for item 14
Sample Item 15,Sample description for inventory item 15,dairy,each,13.75,DairyBest Distributors,5.00,19.00,19.00,BATCH-015,Freezer,5114,SKU-00015,VIN-000045,Notes for item 15
Sample Item 16,Sample description for inventory item 16,dry_goods,pack,3.25,Metro Restaurant Supply,6.00,16.00,10.00,BATCH-016,Bar Storage,5115,SKU-00016,VIN-000048,Notes for item 16
Sample Item 17,Sample description for inventory item 17,beverages,lb,4.00,Gourmet Goods LLC,7.00,18.00,11.00,BATCH-017,Prep Station,5116,SKU-00017,VIN-000051,Notes for item 17
Sample Item 18,Sample description for inventory item 18,other,kg,4.75,Sunrise Produce,8.00,20.00,12.00,BATCH-018,Pantry,5117,SKU-00018,VIN-000054,Notes for item 18
Sample Item 19,Sample description for inventory item 19,produce,oz,5.50,Fresh Farms Co.,9.00,22.00,13.00,BATCH-019,Walk-in Cooler,5118,SKU-00019,VIN-000057,Notes for item 19
Sample Item 20,Sample description for inventory item 20,meat,gal,6.25,Prime Protein Supply,10.00,24.00,14.00,BATCH-020,Dry Storage,5119,SKU-00020,VIN-000060,Notes for item 20
Sample Item 21,Sample description for inventory item 21,dairy,liter,7.00,DairyBest Distributors,11.00,21.00,20.00,BATCH-021,Freezer,5120,SKU-00021,VIN-000063,Notes for item 21
Sample Item 22,Sample description for inventory item 22,dry_goods,case,7.75,Metro Restaurant Supply,5.00,16.00,14.00,BATCH-022,Bar Storage,5121,SKU-00022,VIN-000066,Notes for item 22
Sample Item 23,Sample description for inventory item 23,beverages,each,8.50,Gourmet Goods LLC,6.00,18.00,15.00,BATCH-023,Prep Station,5122,SKU-00023,VIN-000069,Notes for item 23
Sample Item 24,Sample description for inventory item 24,other,pack,9.25,Sunrise Produce,7.00,20.00,16.00,BATCH-024,Pantry,5123,SKU-00024,VIN-000072,Notes for item 24
Sample Item 25,Sample description for inventory item 25,produce,lb,10.00,Fresh Farms Co.,8.00,22.00,17.00,BATCH-025,Walk-in Cooler,5124,SKU-00025,VIN-000075,Notes for item 25
Sample Item 26,Sample description for inventory item 26,meat,kg,10.75,Prime Protein Supply,9.00,19.00,12.00,BATCH-026,Dry Storage,5125,SKU-00026,VIN-000078,Notes for item 26
Sample Item 27,Sample description for inventory item 27,dairy,oz,11.50,DairyBest Distributors,10.00,21.00,12.00,BATCH-027,Freezer,5126,SKU-00027,VIN-000081,Notes for item 27
Sample Item 28,Sample description for inventory item 28,dry_goods,gal,12.25,Metro Restaurant Supply,11.00,23.00,12.00,BATCH-028,Bar Storage,5127,SKU-00028,VIN-000084,Notes for item 28
Sample Item 29,Sample description for inventory item 29,beverages,liter,13.00,Gourmet Goods LLC,5.00,18.00,5.00,BATCH-029,Prep Station,5128,SKU-00029,VIN-000087,Notes for item 29
Sample Item 30,Sample description for inventory item 30,other,case,13.75,Sunrise Produce,6.00,20.00,20.00,BATCH-030,Pantry,5129,SKU-00030,VIN-000090,Notes for item 30
Sample Item 31,Sample description for inventory item 31,produce,each,3.25,Fresh Farms Co.,7.00,17.00,15.00,BATCH-031,Walk-in Cooler,5130,SKU-00031,VIN-000093,Notes for item 31
Sample Item 32,Sample description for inventory item 32,meat,pack,4.00,Prime Protein Supply,8.00,19.00,15.00,BATCH-032,Dry Storage,5131,SKU-00032,VIN-000096,Notes for item 32
Sample Item 33,Sample description for inventory item 33,dairy,lb,4.75,DairyBest Distributors,9.00,21.00,15.00,BATCH-033,Freezer,5132,SKU-00033,VIN-000099,Notes for item 33
Sample Item 34,Sample description for inventory item 34,dry_goods,kg,5.50,Metro Restaurant Supply,10.00,23.00,15.00,BATCH-034,Bar Storage,5133,SKU-00034,VIN-000102,Notes for item 34
Sample Item 35,Sample description for inventory item 35,beverages,oz,6.25,Gourmet Goods LLC,11.00,25.00,15.00,BATCH-035,Prep Station,5134,SKU-00035,VIN-000105,Notes for item 35
Sample Item 36,Sample description for inventory item 36,other,gal,7.00,Sunrise Produce,5.00,15.00,7.00,BATCH-036,Pantry,5135,SKU-00036,VIN-000108,Notes for item 36
Sample Item 37,Sample description for inventory item 37,produce,liter,7.75,Fresh Farms Co.,6.00,17.00,6.00,BATCH-037,Walk-in Cooler,5136,SKU-00037,VIN-000111,Notes for item 37
Sample Item 38,Sample description for inventory item 38,meat,case,8.50,Prime Protein Supply,7.00,19.00,18.00,BATCH-038,Dry Storage,5137,SKU-00038,VIN-000114,Notes for item 38
Sample Item 39,Sample description for inventory item 39,dairy,each,9.25,DairyBest Distributors,8.00,21.00,18.00,BATCH-039,Freezer,5138,SKU-00039,VIN-000117,Notes for item 39
Sample Item 40,Sample description for inventory item 40,dry_goods,pack,10.00,Metro Restaurant Supply,9.00,23.00,18.00,BATCH-040,Bar Storage,5139,SKU-00040,VIN-000120,Notes for item 40
Sample Item 41,Sample description for inventory item 41,beverages,lb,10.75,Gourmet Goods LLC,10.00,20.00,17.00,BATCH-041,Prep Station,5140,SKU-00041,VIN-000123,Notes for item 41
Sample Item 42,Sample description for inventory item 42,other,kg,11.50,Sunrise Produce,11.00,22.00,16.00,BATCH-042,Pantry,5141,SKU-00042,VIN-000126,Notes for item 42
Sample Item 43,Sample description for inventory item 43,produce,oz,12.25,Fresh Farms Co.,5.00,17.00,8.00,BATCH-043,Walk-in Cooler,5142,SKU-00043,VIN-000129,Notes for item 43
Sample Item 44,Sample description for inventory item 44,meat,gal,13.00,Prime Protein Supply,6.00,19.00,7.00,BATCH-044,Dry Storage,5143,SKU-00044,VIN-000132,Notes for item 44
