transaction_date,order_id,item_name,line_item_id,quantity,unit_price,total_amount,modifiers,notes,location,server_name,guest_count
2025-10-01T11:00:00.000Z,ORD-1000,Sample Item 1,LI-000001,1,5.00,5.00,,,Main Dining,Alex Rivera,1
2025-10-01T11:15:00.000Z,ORD-1000,Sample Item 2,LI-000002,2,5.75,11.50,Extra Sauce,VIP guest,Patio,Jordan Kim,2
2025-10-01T11:30:00.000Z,ORD-1001,Sample Item 3,LI-000003,3,6.50,19.50,No Onions,Birthday table,Bar,Taylor Morgan,3
2025-10-01T11:45:00.000Z,ORD-1001,Sample Item 4,LI-000004,4,7.25,29.00,Add Cheese,Handle with care,Takeout Window,Casey Lopez,4
2025-10-01T12:00:00.000Z,ORD-1002,Sample Item 5,LI-000005,1,8.00,8.00,Gluten Free,Rush order,Private Room,Riley Chen,5
2025-10-01T12:15:00.000Z,ORD-1002,Sample Item 6,LI-000006,2,8.75,17.50,No Salt,,Main Dining,Alex Rivera,6
2025-10-01T12:30:00.000Z,ORD-1003,Sample Item 7,LI-000007,3,9.50,28.50,,VIP guest,Patio,Jordan Kim,1
2025-10-01T12:45:00.000Z,ORD-1003,Sample Item 8,LI-000008,4,10.25,41.00,Extra Sauce,Birthday table,Bar,Taylor Morgan,2
2025-10-01T13:00:00.000Z,ORD-1004,Sample Item 9,LI-000009,1,11.00,11.00,No Onions,Handle with care,Takeout Window,Casey Lopez,3
2025-10-01T13:15:00.000Z,ORD-1004,Sample Item 10,LI-000010,2,11.75,23.50,Add Cheese,Rush order,Private Room,Riley Chen,4
2025-10-01T13:30:00.000Z,ORD-1005,Sample Item 11,LI-000011,3,12.50,37.50,Gluten Free,,Main Dining,Alex Rivera,5
2025-10-01T13:45:00.000Z,ORD-1005,Sample Item 12,LI-000012,4,13.25,53.00,No Salt,VIP guest,Patio,Jordan Kim,6
2025-10-01T14:00:00.000Z,ORD-1006,Sample Item 13,LI-000013,1,14.00,14.00,,Birthday table,Bar,Taylor Morgan,1
2025-10-01T14:15:00.000Z,ORD-1006,Sample Item 14,LI-000014,2,14.75,29.50,Extra Sauce,Handle with care,Takeout Window,Casey Lopez,2
2025-10-01T14:30:00.000Z,ORD-1007,Sample Item 15,LI-000015,3,15.50,46.50,No Onions,Rush order,Private Room,Riley Chen,3
2025-10-01T14:45:00.000Z,ORD-1007,Sample Item 16,LI-000016,4,16.25,65.00,Add Cheese,,Main Dining,Alex Rivera,4
2025-10-01T15:00:00.000Z,ORD-1008,Sample Item 17,LI-000017,1,17.00,17.00,Gluten Free,VIP guest,Patio,Jordan Kim,5
2025-10-01T15:15:00.000Z,ORD-1008,Sample Item 18,LI-000018,2,17.75,35.50,No Salt,Birthday table,Bar,Taylor Morgan,6
2025-10-01T15:30:00.000Z,ORD-1009,Sample Item 19,LI-000019,3,18.50,55.50,,Handle with care,Takeout Window,Casey Lopez,1
2025-10-01T15:45:00.000Z,ORD-1009,Sample Item 20,LI-000020,4,19.25,77.00,Extra Sauce,Rush order,Private Room,Riley Chen,2
2025-10-01T16:00:00.000Z,ORD-1010,Sample Item 21,LI-000021,1,5.00,5.00,No Onions,,Main Dining,Alex Rivera,3
2025-10-01T16:15:00.000Z,ORD-1010,Sample Item 22,LI-000022,2,5.75,11.50,Add Cheese,VIP guest,Patio,Jordan Kim,4
